"rt","stimulus","key_press","test_part","expected_response","v_cond","v_wordNum","v_colNum","v_correct","trial_type","trial_index","time_elapsed","internal_node_id","id","date","time"
"750","<span style=""color:blue"">Stift</span>","65","test","a","2","3","0","1","html-keyboard-response","7","64434","0.0-4.0-1.0","502","14.1.2020","23:46:09"
"746","<span style=""color:blue"">Tuch</span>","65","test","a","2","0","0","1","html-keyboard-response","9","66718","0.0-4.0-1.1","502","14.1.2020","23:46:09"
"713","<span style=""color:green"">Würfel</span>","87","test","w","2","1","1","1","html-keyboard-response","11","69003","0.0-4.0-1.2","502","14.1.2020","23:46:09"
"632","<span style=""color:blue"">Unfall</span>","65","test","a","1","0","0","1","html-keyboard-response","13","71274","0.0-4.0-1.3","502","14.1.2020","23:46:09"
"856","<span style=""color:purple"">Glas</span>","68","test","d","2","2","2","1","html-keyboard-response","15","73557","0.0-4.0-1.4","502","14.1.2020","23:46:09"
"517","<span style=""color:purple"">Verspätung</span>","68","test","d","1","2","2","1","html-keyboard-response","17","75840","0.0-4.0-1.5","502","14.1.2020","23:46:09"
"670","<span style=""color:blue"">Unglück</span>","65","test","a","1","3","0","1","html-keyboard-response","19","78126","0.0-4.0-1.6","502","14.1.2020","23:46:09"
"494","<span style=""color:green"">Trauer</span>","87","test","w","1","1","1","1","html-keyboard-response","21","80412","0.0-4.0-1.7","502","14.1.2020","23:46:09"
"667","<span style=""color:purple"">Schrank</span>","68","main","d","2","2","2","1","html-keyboard-response","24","88155","0.0-6.0-1.0","502","14.1.2020","23:46:09"
"535","<span style=""color:green"">Papier</span>","65","main","w","2","1","1","0","html-keyboard-response","26","90442","0.0-6.0-1.1","502","14.1.2020","23:46:09"
"605","<span style=""color:blue"">Fahrzeug</span>","65","main","a","2","6","0","1","html-keyboard-response","29","96728","0.0-6.0-1.2","502","14.1.2020","23:46:09"
"593","<span style=""color:purple"">Schuhe</span>","68","main","d","2","14","2","1","html-keyboard-response","31","99000","0.0-6.0-1.3","502","14.1.2020","23:46:09"
"709","<span style=""color:green"">Stress</span>","87","main","w","1","0","1","1","html-keyboard-response","33","101267","0.0-6.0-1.4","502","14.1.2020","23:46:09"
"489","<span style=""color:blue"">Mord</span>","65","main","a","1","2","0","1","html-keyboard-response","35","103550","0.0-6.0-1.5","502","14.1.2020","23:46:09"
"483","<span style=""color:blue"">Schulden</span>","65","main","a","1","8","0","1","html-keyboard-response","37","105833","0.0-6.0-1.6","502","14.1.2020","23:46:09"
"512","<span style=""color:blue"">Tür</span>","65","main","a","2","12","0","1","html-keyboard-response","39","108087","0.0-6.0-1.7","502","14.1.2020","23:46:09"
"459","<span style=""color:blue"">Kälte</span>","65","main","a","1","11","0","1","html-keyboard-response","41","110369","0.0-6.0-1.8","502","14.1.2020","23:46:09"
"782","<span style=""color:green"">Haus</span>","87","main","w","2","4","1","1","html-keyboard-response","43","112640","0.0-6.0-1.9","502","14.1.2020","23:46:09"
"548","<span style=""color:green"">Lampe</span>","68","main","w","2","13","1","0","html-keyboard-response","45","114920","0.0-6.0-1.10","502","14.1.2020","23:46:09"
"655","<span style=""color:purple"">Zerstörung</span>","68","main","d","1","13","2","1","html-keyboard-response","48","121205","0.0-6.0-1.11","502","14.1.2020","23:46:09"
"626","<span style=""color:green"">Ebola</span>","87","main","w","1","15","1","1","html-keyboard-response","50","123477","0.0-6.0-1.12","502","14.1.2020","23:46:09"
"389","<span style=""color:blue"">Fenster</span>","65","main","a","2","15","0","1","html-keyboard-response","52","125761","0.0-6.0-1.13","502","14.1.2020","23:46:09"
"721","<span style=""color:green"">Diebstahl</span>","87","main","w","1","12","1","1","html-keyboard-response","54","128043","0.0-6.0-1.14","502","14.1.2020","23:46:09"
"531","<span style=""color:green"">Ekel</span>","87","main","w","1","9","1","1","html-keyboard-response","56","130313","0.0-6.0-1.15","502","14.1.2020","23:46:09"
"468","<span style=""color:purple"">Straße</span>","68","main","d","2","11","2","1","html-keyboard-response","58","132598","0.0-6.0-1.16","502","14.1.2020","23:46:09"
"544","<span style=""color:purple"">Prüfung</span>","68","main","d","1","10","2","1","html-keyboard-response","60","134881","0.0-6.0-1.17","502","14.1.2020","23:46:09"
"690","<span style=""color:green"">Schal</span>","87","main","w","2","7","1","1","html-keyboard-response","62","137167","0.0-6.0-1.18","502","14.1.2020","23:46:09"
"586","<span style=""color:purple"">Stuhl</span>","68","main","d","2","5","2","1","html-keyboard-response","64","139450","0.0-6.0-1.19","502","14.1.2020","23:46:09"
"697","<span style=""color:green"">Bombe</span>","87","main","w","1","6","1","1","html-keyboard-response","66","141733","0.0-6.0-1.20","502","14.1.2020","23:46:09"
"638","<span style=""color:green"">Grab</span>","87","main","w","1","3","1","1","html-keyboard-response","68","144017","0.0-6.0-1.21","502","14.1.2020","23:46:09"
"582","<span style=""color:blue"">Krankheit</span>","65","main","a","1","5","0","1","html-keyboard-response","70","146286","0.0-6.0-1.22","502","14.1.2020","23:46:09"
"709","<span style=""color:blue"">Flasche</span>","87","main","a","2","3","0","0","html-keyboard-response","72","148571","0.0-6.0-1.23","502","14.1.2020","23:46:09"
"562","<span style=""color:purple"">Hunger</span>","68","main","d","1","1","2","1","html-keyboard-response","75","154869","0.0-6.0-1.24","502","14.1.2020","23:46:09"
"601","<span style=""color:purple"">Tod</span>","68","main","d","1","7","2","1","html-keyboard-response","77","157152","0.0-6.0-1.25","502","14.1.2020","23:46:09"
"859","<span style=""color:blue"">Panik</span>","65","main","a","1","14","0","1","html-keyboard-response","79","159406","0.0-6.0-1.26","502","14.1.2020","23:46:09"
"946","<span style=""color:green"">Stadt</span>","87","main","w","2","10","1","1","html-keyboard-response","81","161689","0.0-6.0-1.27","502","14.1.2020","23:46:09"
"662","<span style=""color:blue"">Anker</span>","65","main","a","2","0","0","1","html-keyboard-response","83","163973","0.0-6.0-1.28","502","14.1.2020","23:46:09"
"703","<span style=""color:purple"">Pflanze</span>","68","main","d","2","8","2","1","html-keyboard-response","85","166258","0.0-6.0-1.29","502","14.1.2020","23:46:09"
"570","<span style=""color:purple"">Krieg</span>","68","main","d","1","4","2","1","html-keyboard-response","87","168512","0.0-6.0-1.30","502","14.1.2020","23:46:09"
"561","<span style=""color:blue"">Stein</span>","65","main","a","2","9","0","1","html-keyboard-response","89","170795","0.0-6.0-1.31","502","14.1.2020","23:46:09"
