"rt","stimulus","key_press","test_part","expected_response","v_cond","v_wordNum","v_colNum","v_correct","trial_type","trial_index","time_elapsed","internal_node_id","id","date","time"
"709","<span style=""color:purple"">Verspätung</span>","68","test","d","1","2","2","1","html-keyboard-response","7","29307","0.0-4.0-1.0","402","20.1.2020","13:36:40"
"682","<span style=""color:blue"">Tuch</span>","65","test","a","2","0","0","1","html-keyboard-response","9","31565","0.0-4.0-1.1","402","20.1.2020","13:36:40"
"680","<span style=""color:blue"">Unfall</span>","65","test","a","1","0","0","1","html-keyboard-response","11","33822","0.0-4.0-1.2","402","20.1.2020","13:36:40"
"736","<span style=""color:purple"">Glas</span>","68","test","d","2","2","2","1","html-keyboard-response","13","36076","0.0-4.0-1.3","402","20.1.2020","13:36:40"
"837","<span style=""color:green"">Trauer</span>","87","test","w","1","1","1","1","html-keyboard-response","15","38330","0.0-4.0-1.4","402","20.1.2020","13:36:40"
"515","<span style=""color:green"">Würfel</span>","87","test","w","2","1","1","1","html-keyboard-response","17","40585","0.0-4.0-1.5","402","20.1.2020","13:36:40"
"609","<span style=""color:blue"">Unglück</span>","65","test","a","1","3","0","1","html-keyboard-response","19","42839","0.0-4.0-1.6","402","20.1.2020","13:36:40"
"641","<span style=""color:blue"">Stift</span>","65","test","a","2","3","0","1","html-keyboard-response","21","45094","0.0-4.0-1.7","402","20.1.2020","13:36:40"
"802","<span style=""color:green"">Fenster</span>","87","main","w","2","13","1","1","html-keyboard-response","24","48351","0.0-6.0-1.0","402","20.1.2020","13:36:40"
"632","<span style=""color:purple"">Kälte</span>","68","main","d","1","10","2","1","html-keyboard-response","26","50603","0.0-6.0-1.1","402","20.1.2020","13:36:40"
"653","<span style=""color:green"">Panik</span>","87","main","w","1","12","1","1","html-keyboard-response","28","52856","0.0-6.0-1.2","402","20.1.2020","13:36:40"
"569","<span style=""color:blue"">Anker</span>","65","main","a","2","3","0","1","html-keyboard-response","30","55110","0.0-6.0-1.3","402","20.1.2020","13:36:40"
"616","<span style=""color:blue"">Krankheit</span>","65","main","a","1","14","0","1","html-keyboard-response","32","57365","0.0-6.0-1.4","402","20.1.2020","13:36:40"
"620","<span style=""color:purple"">Lampe</span>","68","main","d","2","8","2","1","html-keyboard-response","34","59617","0.0-6.0-1.5","402","20.1.2020","13:36:40"
"500","<span style=""color:green"">Stadt</span>","87","main","w","2","10","1","1","html-keyboard-response","36","61873","0.0-6.0-1.6","402","20.1.2020","13:36:40"
"454","<span style=""color:green"">Bombe</span>","87","main","w","1","15","1","1","html-keyboard-response","38","64129","0.0-6.0-1.7","402","20.1.2020","13:36:40"
"454","<span style=""color:green"">Krieg</span>","87","main","w","1","0","1","1","html-keyboard-response","40","66382","0.0-6.0-1.8","402","20.1.2020","13:36:40"
"601","<span style=""color:blue"">Schulden</span>","65","main","a","1","5","0","1","html-keyboard-response","42","68639","0.0-6.0-1.9","402","20.1.2020","13:36:40"
"622","<span style=""color:purple"">Ebola</span>","68","main","d","1","13","2","1","html-keyboard-response","44","70904","0.0-6.0-1.10","402","20.1.2020","13:36:40"
"735","<span style=""color:purple"">Mord</span>","68","main","d","1","1","2","1","html-keyboard-response","46","73164","0.0-6.0-1.11","402","20.1.2020","13:36:40"
"603","<span style=""color:blue"">Schrank</span>","65","main","a","2","6","0","1","html-keyboard-response","48","75423","0.0-6.0-1.12","402","20.1.2020","13:36:40"
"563","<span style=""color:purple"">Straße</span>","68","main","d","2","14","2","1","html-keyboard-response","50","77681","0.0-6.0-1.13","402","20.1.2020","13:36:40"
"623","<span style=""color:purple"">Stein</span>","68","main","d","2","5","2","1","html-keyboard-response","52","79935","0.0-6.0-1.14","402","20.1.2020","13:36:40"
"681","<span style=""color:green"">Stress</span>","87","main","w","1","6","1","1","html-keyboard-response","54","82189","0.0-6.0-1.15","402","20.1.2020","13:36:40"
"582","<span style=""color:purple"">Papier</span>","68","main","d","2","2","2","1","html-keyboard-response","56","84442","0.0-6.0-1.16","402","20.1.2020","13:36:40"
"692","<span style=""color:purple"">Grab</span>","68","main","d","1","4","2","1","html-keyboard-response","58","86696","0.0-6.0-1.17","402","20.1.2020","13:36:40"
"688","<span style=""color:green"">Diebstahl</span>","87","main","w","1","9","1","1","html-keyboard-response","60","88951","0.0-6.0-1.18","402","20.1.2020","13:36:40"
"562","<span style=""color:purple"">Flasche</span>","68","main","d","2","11","2","1","html-keyboard-response","62","91204","0.0-6.0-1.19","402","20.1.2020","13:36:40"
"497","<span style=""color:purple"">Zerstörung</span>","68","main","d","1","7","2","1","html-keyboard-response","64","93459","0.0-6.0-1.20","402","20.1.2020","13:36:40"
"610","<span style=""color:green"">Prüfung</span>","87","main","w","1","3","1","1","html-keyboard-response","66","95715","0.0-6.0-1.21","402","20.1.2020","13:36:40"
"490","<span style=""color:blue"">Tür</span>","65","main","a","2","9","0","1","html-keyboard-response","68","97967","0.0-6.0-1.22","402","20.1.2020","13:36:40"
"469","<span style=""color:blue"">Tod</span>","65","main","a","1","2","0","1","html-keyboard-response","70","100220","0.0-6.0-1.23","402","20.1.2020","13:36:40"
"521","<span style=""color:green"">Pflanze</span>","87","main","w","2","4","1","1","html-keyboard-response","72","102473","0.0-6.0-1.24","402","20.1.2020","13:36:40"
"512","<span style=""color:blue"">Ekel</span>","65","main","a","1","8","0","1","html-keyboard-response","74","104727","0.0-6.0-1.25","402","20.1.2020","13:36:40"
